VALUE,COUNT,LU_CODEV7N,LU_CODEV7,TERTIARY_V7,SECONDARY_V7,PRIMARY_V7,CLASSES_18,C18_DESCRIPTION,TOPO_FEATURES,TOPO_FEAT_DESC,CLUM_DATA,CLUM_DATA_DESC,PROT_AREAS,PROT_AREAS_DESC,WH_AREAS,WH_AREAS_DESC,TENURE,TENURE_DESC,FOREST_TYPE,FOREST_TYPE_DESC,VEG_CONDITION,VEG_COND_DESC,COMMODITIES,COMMODITIES_DESC,IRRIGATION,IRRIGATION_DESC
2471,2,455,4.5.5,4.5.5 Irrigated turf farming,4.5 Irrigated seasonal horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,340,3.4.0 Perennial horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,55,Other non-cereal crops - mainly irrigated turf farming,1,Irrigated agriculture
2472,15,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,113,1.1.3 National park,20,II. National park,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2473,18,434,4.3.4,4.3.4 Irrigated oil seeds,4.3 Irrigated cropping,4 Production from irrigated agriculture and plantations,11,Irrigated cropping (4.3),0,Not a topographic feature,436,4.3.6 Irrigated cotton,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,11,Summer oilseeds,1,Irrigated agriculture
2474,2,130,1.3.0,1.3.0 Other minimal use,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,322,3.2.2 Woody fodder plants,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
2475,14,436,4.3.6,4.3.6 Irrigated cotton,4.3 Irrigated cropping,4 Production from irrigated agriculture and plantations,11,Irrigated cropping (4.3),0,Not a topographic feature,210,2.1.0 Grazing native vegetation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,14,Cotton,1,Irrigated agriculture
2476,1,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,120,1.2.0 Managed resource protection,20,II. National park,0,IUCN management category unassigned or not a WHA,6,Private land,4,Native closed forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2477,412,130,1.3.0,1.3.0 Other minimal use,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,420,4.2.0 Grazing irrigated modified pastures,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
2478,93,620,6.2.0,6.2.0 Reservoir/dam,6.2 Reservoir/dam,6 Water,17,Water (6.0),8,Reservoir,130,1.3.0 Other minimal use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2479,3,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,621,6.2.1 Reservoir,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
2480,3,338,3.3.8,3.3.8 Pulses,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,336,3.3.6 Cotton,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,9,Summer legumes,0,"Dryland agriculture, not ag. or no data"
2481,1,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2482,39,611,6.1.1,6.1.1 Lake - conservation,6.1 Lake,6 Water,17,Water (6.0),2,Lake - non-perennial,611,6.1.1 Lake - conservation,20,II. National park,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2483,6,521,5.2.1,5.2.1 Dairy sheds and yards,5.2 Intensive animal husbandry,5 Intensive uses,13,"Intensive animal and plant production (5.1, 5.2)",0,Not a topographic feature,521,5.2.1 Dairy sheds and yards,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2484,9,631,6.3.1,6.3.1 River - conservation,6.3 River,6 Water,17,Water (6.0),3,Watercourse - perennial,621,6.2.1 Reservoir,0,Not a protected area,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2485,1,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,660,6.6.0 Estuary/coastal waters,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2487,1,340,3.4.0,3.4.0 Perennial horticulture,3.4 Perennial horticulture,3 Production from dryland agriculture and plantations,9,"Dryland horticulture (3.4, 3.5)",0,Not a topographic feature,420,4.2.0 Grazing irrigated modified pastures,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,24,Plantation fruit,0,"Dryland agriculture, not ag. or no data"
2488,3,114,1.1.4,1.1.4 Natural feature protection,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,30,III. Natural monument,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2489,4,111,1.1.1,1.1.1 Strict nature reserves,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,111,1.1.1 Strict nature reserves,11,Ia. Strict nature reserve,1,WHA managed as one or more of IUCN categories Ia to V,4,Nature conservation areas,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2490,8,220,2.2.0,2.2.0 Production forestry,2.2 Production forestry,2 Production from relatively natural environments,5,Production forestry (2.2),0,Not a topographic feature,580,5.8.0 Mining,0,Not a protected area,0,IUCN management category unassigned or not a WHA,1,Multiple use forests,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2491,7,521,5.2.1,5.2.1 Dairy sheds and yards,5.2 Intensive animal husbandry,5 Intensive uses,13,"Intensive animal and plant production (5.1, 5.2)",0,Not a topographic feature,521,5.2.1 Dairy sheds and yards,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2492,1,122,1.2.2,1.2.2 Surface water supply,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,621,6.2.1 Reservoir,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2493,10,122,1.2.2,1.2.2 Surface water supply,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,210,2.1.0 Grazing native vegetation,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2494,3,620,6.2.0,6.2.0 Reservoir/dam,6.2 Reservoir/dam,6 Water,17,Water (6.0),8,Reservoir,621,6.2.1 Reservoir,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2495,2,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2496,1,574,5.7.4,5.7.4 Ports and water transport,5.7 Transport and communication,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,574,5.7.4 Ports and water transport,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2497,1,574,5.7.4,5.7.4 Ports and water transport,5.7 Transport and communication,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,574,5.7.4 Ports and water transport,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2498,3,500,5.0.0,5.0.0 Intensive uses,5.0 Intensive uses,5 Intensive uses,14,"Rural residential and farm infrastructure (5.4.2, 5.4.3, 5.4.4, 5.4.5)",10,Built-up area,650,6.5.0 Marsh/wetland,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2499,221,336,3.3.6,3.3.6 Cotton,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,436,4.3.6 Irrigated cotton,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,14,Cotton,0,"Dryland agriculture, not ag. or no data"
2500,3,620,6.2.0,6.2.0 Reservoir/dam,6.2 Reservoir/dam,6 Water,17,Water (6.0),8,Reservoir,210,2.1.0 Grazing native vegetation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2501,1,540,5.4.0,5.4.0 Residential and farm infrastructure,5.4 Residential and farm infrastructure,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",10,Built-up area,540,5.4.0 Residential and farm infrastructure,0,Not a protected area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2502,12046,331,3.3.1,3.3.1 Cereals,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,320,3.2.0 Grazing modified pastures,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,5,Winter cereals,0,"Dryland agriculture, not ag. or no data"
2504,3,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,117,1.1.7 Other conserved area,0,Not a protected area,0,IUCN management category unassigned or not a WHA,11,Water production,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2505,7,631,6.3.1,6.3.1 River - conservation,6.3 River,6 Water,17,Water (6.0),3,Watercourse - perennial,660,6.6.0 Estuary/coastal waters,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2506,2,620,6.2.0,6.2.0 Reservoir/dam,6.2 Reservoir/dam,6 Water,17,Water (6.0),8,Reservoir,610,6.1.0 Lake,0,Not a protected area,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2507,1,130,1.3.0,1.3.0 Other minimal use,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
2508,14,133,1.3.3,1.3.3 Residual native cover,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,581,5.8.1 Mines,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
2509,2,335,3.3.5,3.3.5 Sugar,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,12,Sugar cane,0,"Dryland agriculture, not ag. or no data"
2510,2,455,4.5.5,4.5.5 Irrigated turf farming,4.5 Irrigated seasonal horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,580,5.8.0 Mining,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,55,Other non-cereal crops - mainly irrigated turf farming,1,Irrigated agriculture
2511,4,338,3.3.8,3.3.8 Pulses,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,320,3.2.0 Grazing modified pastures,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,9,Summer legumes,0,"Dryland agriculture, not ag. or no data"
2512,1,611,6.1.1,6.1.1 Lake - conservation,6.1 Lake,6 Water,17,Water (6.0),1,Lake - perennial,114,1.1.4 Natural feature protection,30,III. Natural monument,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2513,3,130,1.3.0,1.3.0 Other minimal use,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,440,4.4.0 Irrigated perennial horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,0,Unallocated agricultural land,0,"Dryland agriculture, not ag. or no data"
2514,21,592,5.9.2,5.9.2 Landfill,5.9 Waste treatment and disposal,5 Intensive uses,16,"Mining and waste (5.8, 5.9)",0,Not a topographic feature,592,5.9.2 Landfill,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2515,4,550,5.5.0,5.5.0 Services,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,550,5.5.0 Services,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2516,1,122,1.2.2,1.2.2 Surface water supply,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,210,2.1.0 Grazing native vegetation,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,11,Water production,2,Native woodland,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2517,1,540,5.4.0,5.4.0 Residential and farm infrastructure,5.4 Residential and farm infrastructure,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",10,Built-up area,540,5.4.0 Residential and farm infrastructure,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2518,155,550,5.5.0,5.5.0 Services,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,550,5.5.0 Services,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2519,145,651,6.5.1,6.5.1 Marsh/wetland - conservation,6.5 Marsh/wetland,6 Water,17,Water (6.0),5,Swamp,117,1.1.7 Other conserved area,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2520,1,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,100,1.0.0 Conservation and natural environments,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2521,3,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,650,6.5.0 Marsh/wetland,20,II. National park,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2522,26,131,1.3.1,1.3.1 Defence land - natural areas,1.3 Other minimal use,1 Conservation and natural environments,3,Other minimal use (1.3),0,Not a topographic feature,330,3.3.0 Cropping,0,Not a protected area,0,IUCN management category unassigned or not a WHA,12,Defence reserve,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2523,1,550,5.5.0,5.5.0 Services,5.5 Services,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,550,5.5.0 Services,0,Not a protected area,0,IUCN management category unassigned or not a WHA,11,Water production,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2524,5,611,6.1.1,6.1.1 Lake - conservation,6.1 Lake,6 Water,17,Water (6.0),2,Lake - non-perennial,610,6.1.0 Lake,20,II. National park,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2525,6,455,4.5.5,4.5.5 Irrigated turf farming,4.5 Irrigated seasonal horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,430,4.3.0 Irrigated cropping,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,55,Other non-cereal crops - mainly irrigated turf farming,1,Irrigated agriculture
2526,11,333,3.3.3,3.3.3 Hay and silage,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,13,Pastures and crops for hay and silage,0,"Dryland agriculture, not ag. or no data"
2527,2,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2528,1,113,1.1.3,1.1.3 National park,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,133,1.3.3 Residual native cover,20,II. National park,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2529,1,524,5.2.4,5.2.4 Poultry farms,5.2 Intensive animal husbandry,5 Intensive uses,13,"Intensive animal and plant production (5.1, 5.2)",0,Not a topographic feature,524,5.2.4 Poultry farms,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2530,3,455,4.5.5,4.5.5 Irrigated turf farming,4.5 Irrigated seasonal horticulture,4 Production from irrigated agriculture and plantations,12,"Irrigated horticulture (4.4, 4.5)",0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,55,Other non-cereal crops - mainly irrigated turf farming,1,Irrigated agriculture
2531,1,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,651,6.5.1 Marsh/wetland - conservation,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2532,1,630,6.3.0,6.3.0 River,6.3 River,6 Water,17,Water (6.0),3,Watercourse - perennial,530,5.3.0 Manufacturing and industrial,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2533,17,331,3.3.1,3.3.1 Cereals,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,433,4.3.3 Irrigated hay and silage,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,5,Winter cereals,0,"Dryland agriculture, not ag. or no data"
2534,27,433,4.3.3,4.3.3 Irrigated hay and silage,4.3 Irrigated cropping,4 Production from irrigated agriculture and plantations,11,Irrigated cropping (4.3),0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,13,Pastures and crops for hay and silage,1,Irrigated agriculture
2535,1,584,5.8.4,5.8.4 Extractive industry not in use,5.8 Mining,5 Intensive uses,16,"Mining and waste (5.8, 5.9)",0,Not a topographic feature,584,5.8.4 Extractive industry not in use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2536,8,331,3.3.1,3.3.1 Cereals,3.3 Cropping,3 Production from dryland agriculture and plantations,8,Dryland cropping (3.3),0,Not a topographic feature,450,4.5.0 Irrigated seasonal horticulture,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,5,Winter cereals,0,"Dryland agriculture, not ag. or no data"
2537,1,584,5.8.4,5.8.4 Extractive industry not in use,5.8 Mining,5 Intensive uses,16,"Mining and waste (5.8, 5.9)",12,Mine area,584,5.8.4 Extractive industry not in use,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2538,6,580,5.8.0,5.8.0 Mining,5.8 Mining,5 Intensive uses,16,"Mining and waste (5.8, 5.9)",12,Mine area,113,1.1.3 National park,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2540,1,541,5.4.1,5.4.1 Urban residential,5.4 Residential and farm infrastructure,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,541,5.4.1 Urban residential,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,2,Modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2541,1,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,117,1.1.7 Other conserved area,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,10,Public land - other,0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2542,3,115,1.1.5,1.1.5 Habitat/species management area,1.1 Nature conservation,1 Conservation and natural environments,1,Nature conservation (1.1),0,Not a topographic feature,650,6.5.0 Marsh/wetland,40,IV. Habitat/species management area,0,IUCN management category unassigned or not a WHA,0,"Ocean, estuary with no tenure; no data",0,Non-forest or no data,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2543,73,436,4.3.6,4.3.6 Irrigated cotton,4.3 Irrigated cropping,4 Production from irrigated agriculture and plantations,11,Irrigated cropping (4.3),0,Not a topographic feature,210,2.1.0 Grazing native vegetation,0,Not a protected area,0,IUCN management category unassigned or not a WHA,6,Private land,0,Non-forest or no data,1,No modification of native vegetation,14,Cotton,1,Irrigated agriculture
2544,7,120,1.2.0,1.2.0 Managed resource protection,1.2 Managed resource protection,1 Conservation and natural environments,2,Other protected areas including indigenous uses (1.2),0,Not a topographic feature,220,2.2.0 Production forestry,60,VI. Managed resource protected areas,0,IUCN management category unassigned or not a WHA,4,Nature conservation areas,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
2545,2,530,5.3.0,5.3.0 Manufacturing and industrial,5.3 Manufacturing and industrial,5 Intensive uses,15,"Urban intensive uses (5.3, 5.4, 5.4.1, 5.5, 5.6, 5.7)",0,Not a topographic feature,530,5.3.0 Manufacturing and industrial,0,Not a protected area,0,IUCN management category unassigned or not a WHA,10,Public land - other,3,Native open forest,1,No modification of native vegetation,-1,Non-agricultural land or no data,0,"Dryland agriculture, not ag. or no data"
